Date,index,FX,GDP,CPI,RFR,UR,BOP,GFCF
19/01/07,26213.38086,10.838,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
22/01/07,26432.25,10.9352,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
23/01/07,26810,10.9375,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
24/01/07,27338.30078,10.9161,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
25/01/07,26899.33984,11.0417,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
26/01/07,27045.71094,10.997,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
29/01/07,26834.05078,11.0795,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
30/01/07,27135.36914,11.0245,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
31/01/07,27561.49023,10.9925,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
01/02/07,27842.75977,10.9632,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
02/02/07,27933.07031,10.955,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
05/02/07,null,10.9048,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
06/02/07,null,10.9251,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
07/02/07,28123.75977,10.9693,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
08/02/07,28197.25977,10.9334,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
09/02/07,27906.89063,10.906,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
12/02/07,27972.23047,11.0345,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
13/02/07,28262.65039,10.9418,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
14/02/07,28539.68945,10.9145,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
15/02/07,28498.75,10.97,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
16/02/07,28491.07031,10.943,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
19/02/07,28590.16992,10.966,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
20/02/07,28589.66016,10.9845,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
21/02/07,28715.96094,10.979,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
22/02/07,28676.48047,11.0023,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
23/02/07,28505.7207,10.979,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
26/02/07,28046.16016,11.0645,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
27/02/07,26418.82031,11.175,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
28/02/07,26638.94922,11.1633,0.704947205,12.41749,8,3.797376,-1.632653,4.75526556
